author,lng,lat
Michael Chabon,-17.4892,-34.9202
Robert Fulghum,10.5933,-46.1735
Carlos Fuentes,-10.8039,-39.0705
Tim Parks,-4.3125,-45.135
Jack Whyte,-10.8324,-35.3848
Hilary Mantel,-16.5996,-31.417
John Bellairs,-4.4396,-47.3619
Katharine Holabird,6.843,-45.9428
Glen Cook,11.4199,-42.9907
Rolando Hinojosa,23.1862,-31.0526
Stanley Wiater,13.0589,-46.705
Martin Fransman,17.387,12.3167
Christopher R. Kitchin,-9.6729,-4.1362
Thomas Paul Slaughter,-7.7007,-18.5977
Bruce Jackson,-14.336,-29.5864
Jim Arlow,15.801,17.66
Robert Eustis Morsberger,8.9224,-10.4628
Katherine Marsh,-2.7132,-46.8272
John Lynch,43.4597,-19.161
Robert Kneller,42.1075,-10.9761
Frank Smith,12.5466,-9.3254
Irmengard Rauch,10.2982,-3.7343
Arnold Krammer,40.154,-19.4001
Katsuhiko Ogata,-19.6639,-13.896
Steven H. Clark,7.4257,-19.1402
Robert Kirk,29.778,-3.6929
Fletcher Pratt,33.8266,-8.9395
Erik Durschmied,4.592,-44.2051
J. Maarten Troost,7.2712,-28.4764
Farah Mendlesohn,11.5714,-8.8691
Nicholas Drayson,9.3606,-43.3657
Susan Buck-Morss,24.8278,-9.0553
Margaret Spufford,20.686,-19.3923
Graham Sharp Paul,-20.1729,-36.2563
Sarah Messer,11.8015,-46.7388
Brian Ladd,33.2977,-29.5068
Victor Paul Furnish,-30.5342,-20.5005
Axel Carl Bredahl,-4.6657,-15.2029
Paul Muldoon,-9.3884,-30.6384
Donald Mitchell,-10.0718,-11.0048
Don Whitehead,-8.7428,-21.2497
Sina Queyras,-8.456,-31.5304
Catherine Whistler,-0.4468,-28.5329
Haley Elizabeth Garwood,-15.5698,-37.037
Jessica Duchen,8.2318,-27.0216
Eliyahu Ashtor,-12.1765,-15.8473
Chin-ning Chu,-22.2872,-23.7943
Robert F. Arnove,28.8055,-27.7001
Charles Burney,11.2219,-32.8033
Kevin Brownlow,24.2638,-0.475
Suzanne Levine,30.076,0.2088
Yoel Hoffmann,13.5768,-28.7716
Veronica Roth,29.5393,-56.8839
Raúlrsalinas,-4.9934,-27.5647
Nigel Smith,-12.6258,-20.2939
Paula R. Backscheider,8.8011,-10.3337
Michael Bruno,8.4107,-5.3309
Resil B. Mojares,-22.5458,-24.0587
Tom Wilson,3.1698,-0.5319
Roderick Cavaliero,25.0539,-22.882
Todd McCaffrey,-12.4694,-36.7981
Richard Goldstein,18.7246,-31.3982
Ernst Friedrich Schumacher,35.6365,-3.2933
Daniel Yankelovich,41.7435,-10.7239
Kurt Weill,3.6075,-37.5667
Andrew Marvell,-5.4023,-22.6332
Samuel Weber,-3.4508,-36.7047
Vernon Scannell,-10.978,-35.3324
Jack D. Welsh,-13.2716,-18.1851
Aaron Barlow,35.7735,-5.2569
György Konrád,-12.251,-31.8537
John Brown,148.3736,-79.8004
James Phillips,-9.9628,-33.9999
Geraldine Ferraro,35.8106,-15.4686
Charles Kuralt,3.9232,-41.3949
P.V. Ananda Mohan,17.2584,12.8912
Tarō Yashima,-4.6419,-45.7176
Ernest Holmes,-9.3774,-6.0743
Philip Elliot Slater,26.9296,-8.5258
Olga T. Yokoyama,9.992,-22.7896
James J. Barnes,34.6758,-9.4996
Bruno Miguel Teixeira de Sousa,15.5216,16.6487
William G. Zikmund,-1.6083,2.9565
Siham Tergeman,7.3669,-19.774
Sing C. Chew,13.8508,-5.6196
Louis Rapoport,-5.6437,-47.13
John Fisher,-5.775,-33.8559
Albie Sachs,41.1071,-23.9698
Coventry Patmore,-1.7042,-16.8148
John C. B. Webster,-28.5914,-16.0066
Edna Andrews,8.0131,-11.151
Annie Finch,12.9767,-8.9081
M. C. Sumner,5.064,-46.886
Colin Imber,-18.2288,-14.6272
Sean Russell,6.4748,-41.6511
I͡Uriĭ Valentinovich Trifonov,19.1457,-26.3286
Stefan Berger,18.6299,-14.4561
Steve Miller,10.674,-36.4673
Samuel Pepys,-6.6145,-19.028
William Doyle,26.9825,-24.4664
Henry J. Steiner,33.1456,-6.5464
Viktor Vasilʹevich Prasolov,-0.8743,12.9495
James Raven,-17.4784,-38.1311
Jon Savage,-6.3116,-30.8104
Deborah J. Stipek,11.5442,4.2593
Camilla Townsend,30.0251,-29.2808
Frances Burney,-9.7475,-23.1871
Sylvia Barack Fishman,-4.2316,-10.2342
Dorothy D. Lee,23.2685,-3.9509
Patricia J. Williams,34.7776,-29.5867
Elliott Ward Cheney,11.3977,12.8432
Ignacio Padilla,35.625,-39.4853
Andrew P. Tobias,-7.0629,-1.5247
Shadi Bartsch,2.8084,-33.9433
Rosemary Lloyd,-5.5311,-11.2983
Louis G. Perez,37.3387,-22.0846
Norman Fischer,-13.0888,-30.7902
Robert Ginsberg,10.958,-15.3632
Marian Engel,8.8921,-27.1982
Mogens Pelt,19.1863,-13.1564
Shirley Christian,29.4389,-28.8131
John Childs,7.9433,-38.1959
Michael J. Seth,38.5731,-19.9357
Stephen Gaukroger,3.7733,-19.228
John Tulloch,18.2707,-4.4436
John Timothy Wixted,11.7914,3.1838
Adrian Howe,19.8664,-5.7977
Elif Shafak,-29.7357,-23.6149
Catherine Hapka,-6.6156,-0.4408
Deepak Lal,28.9573,-1.6681
John Feinstein,-19.3777,-34.9818
Elmer Hubert Johnson,9.5251,-16.1387
Richard Newman,1.0115,-32.5289
Milton Gaither,6.0471,-6.4277
Robin Becker,-3.7077,-27.7956
Wayne Ellwood,41.8216,-5.1469
Keith Waterhouse,2.0677,-44.0809
Dave Stone,13.2315,-9.79
Richard J. Barnet,18.6651,-25.8417
Margaret M. McGowan,23.9261,-28.5722
Jane Mace,23.276,-3.5275
William H. Murray,14.7017,17.7151
Richard Verdi,-8.5165,-5.644
Susan Greenfield,-11.0596,-35.9936
Richard Cleminson,21.6705,-6.5781
Robert L. O'Connell,14.6749,-26.4143
David Rakoff,-21.4097,-25.7302
Ken Dowden,-9.2898,-11.0073
Haim Hazan,-26.788,-21.1006
Richard Sexton,-3.6998,-22.2034
Diamela Eltit,-12.7773,-31.1171
Ray Lischner,15.7592,18.0292
Howard Brick,30.8274,-10.2618
Brandon Mull,-12.2122,-36.522
Bob Dylan,-9.0115,-8.0705
Anna Nagurney,-3.4006,-5.8537
